Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0060196,2018-03-13,2018-03-13,,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,Movie,8.8,178,1966,"Adventure, Drama, Western",887345,1967-12-29,"Sergio Leone",,
2,tt0056172,2018-03-13,2018-03-13,,"Lawrence of Arabia","Lawrence of Arabia",https://www.imdb.com/title/tt0056172/,Movie,8.3,227,1962,"Adventure, Biography, Drama, War",340382,1962-12-16,"David Lean",,
3,tt0093058,2018-03-13,2018-03-13,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Movie,8.2,116,1987,"Drama, War",847283,1987-07-10,"Stanley Kubrick",,
4,tt0094525,2018-03-13,2018-03-13,,"Poirot","Poirot",https://www.imdb.com/title/tt0094525/,TV Series,8.6,100,1989,"Crime, Drama, Mystery, Thriller",58488,1990-01-18,,,
5,tt0375611,2018-03-17,2018-03-17,,"Black","Black",https://www.imdb.com/title/tt0375611/,Movie,8.1,122,2005,"Drama",37441,2005-02-04,"Sanjay Leela Bhansali",,
6,tt0306414,2018-06-10,2018-06-10,,"The Wire","The Wire",https://www.imdb.com/title/tt0306414/,TV Series,9.3,60,2002,"Crime, Drama, Thriller",428002,2002-06-02,,,
7,tt6317068,2018-06-12,2018-06-12,,"Final Space","Final Space",https://www.imdb.com/title/tt6317068/,TV Series,8.2,30,2018,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",51037,2018-02-26,,,
8,tt2278388,2018-06-17,2018-06-17,,"The Grand Budapest Hotel","The Grand Budapest Hotel",https://www.imdb.com/title/tt2278388/,Movie,8.1,99,2014,"Comedy, Drama",963949,2014-03-28,"Wes Anderson",,
9,tt2278871,2018-06-17,2018-06-17,,"Blue Is the Warmest Colour","La vie d'Adèle",https://www.imdb.com/title/tt2278871/,Movie,7.6,180,2013,"Drama, Romance",172660,2013-10-09,"Abdellatif Kechiche",,
10,tt0103359,2018-07-07,2018-07-07,,"Batman: The Animated Series","Batman: The Animated Series",https://www.imdb.com/title/tt0103359/,TV Series,9.0,23,1992,"Animation, Action, Adventure, Crime, Family, Mystery, Sci-Fi",136224,1992-09-05,,,
11,tt1355642,2018-07-07,2018-07-07,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",244823,2009-04-09,,,
12,tt1340800,2018-10-03,2018-10-03,,"Tinker Tailor Soldier Spy","Tinker Tailor Soldier Spy",https://www.imdb.com/title/tt1340800/,Movie,7.0,127,2011,"Drama, Mystery, Thriller",225579,2012-01-06,"Tomas Alfredson",,
13,tt1502407,2018-12-20,2018-12-20,,"Halloween","Halloween",https://www.imdb.com/title/tt1502407/,Movie,6.5,106,2018,"Crime, Drama, Horror, Thriller",186043,2018-10-19,"David Gordon Green",,
14,tt0083866,2018-12-20,2018-12-20,,"E.T. the Extra-Terrestrial","E.T. the Extra-Terrestrial",https://www.imdb.com/title/tt0083866/,Movie,7.9,115,1982,"Adventure, Family, Sci-Fi",469739,1982-06-11,"Steven Spielberg",,
15,tt0086541,2019-01-23,2019-01-23,,"Videodrome","Videodrome",https://www.imdb.com/title/tt0086541/,Movie,7.2,87,1983,"Drama, Horror, Sci-Fi, Thriller",112356,1983-02-04,"David Cronenberg",,
16,tt0141842,2019-02-27,2019-02-27,,"The Sopranos","The Sopranos",https://www.imdb.com/title/tt0141842/,TV Series,9.2,55,1999,"Crime, Drama",572499,1999-01-10,,,
17,tt0118421,2019-02-27,2019-02-27,,"Oz","Oz",https://www.imdb.com/title/tt0118421/,TV Series,8.7,60,1997,"Crime, Drama, Thriller",116348,1997-07-12,,,
18,tt7946422,2019-07-20,2019-07-20,,"Prospect","Prospect",https://www.imdb.com/title/tt7946422/,Movie,6.3,100,2018,"Adventure, Drama, Sci-Fi, Thriller",40139,2018-11-02,"Christopher Caldwell, Zeek Earl",,
19,tt5726616,2019-09-08,2019-09-08,,"Call Me by Your Name","Call Me by Your Name",https://www.imdb.com/title/tt5726616/,Movie,7.8,132,2017,"Drama, Romance",356502,2018-01-19,"Luca Guadagnino",,
20,tt0043014,2019-10-09,2019-10-09,,"Sunset Boulevard","Sunset Blvd.",https://www.imdb.com/title/tt0043014/,Movie,8.4,110,1950,"Drama, Film-Noir",260040,1950-08-04,"Billy Wilder",,
21,tt0851578,2019-12-03,2019-12-03,,"Paprika","Papurika",https://www.imdb.com/title/tt0851578/,Movie,7.7,90,2006,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller",111319,2007-06-22,"Satoshi Kon",,
22,tt2576852,2019-12-03,2019-12-03,,"The Tale of The Princess Kaguya","Kaguya-hime no monogatari",https://www.imdb.com/title/tt2576852/,Movie,8.0,137,2013,"Animation, Drama, Family, Fantasy, Romance",61389,2013-11-23,"Isao Takahata",,
23,tt8134186,2020-03-12,2020-03-12,,"Devs","Devs",https://www.imdb.com/title/tt8134186/,TV Mini Series,7.6,51,2020,"Drama, Mystery, Sci-Fi, Thriller",56854,2020-03-05,,,
24,tt1977895,2020-05-11,2020-05-11,,"Resolution","Resolution",https://www.imdb.com/title/tt1977895/,Movie,6.4,93,2012,"Drama, Horror, Mystery, Thriller",21574,2013-01-23,"Justin Benson, Aaron Moorhead",,
25,tt0113957,2020-05-25,2020-05-25,,"The Net","The Net",https://www.imdb.com/title/tt0113957/,Movie,6.0,114,1995,"Action, Crime, Drama, Mystery, Thriller",79440,1995-07-28,"Irwin Winkler",,
